net,length_um
_0585_,45.5
_2006_,45.47
_2857_,45.3
_0893_,45.18
_1724_,45.18
reg_file.memory\[2\]\[23\],45.15
_2391_,45.1
_0899_,45.06
_1657_,44.72
_2078_,44.32
reg_file.memory\[0\]\[27\],44.32
_2121_,44.3
reg_file.memory\[0\]\[24\],44.26
_1787_,44.18
_2681_,44.18
_2321_,43.96
_0326_,43.84
clknet_leaf_3_clk,43.78
_1700_,43.71
seven_seg_conv.digit_counter\[0\],43.695
_1013_,43.52
_1373_,43.52
_0262_,43.405
_1953_,43.18
_1694_,43.14
_1381_,43.1
_1663_,42.96
_1676_,42.94
_1668_,42.76
_2196_,42.56
reg_file.memory\[2\]\[29\],42.56
_2038_,42.52
_1764_,42.12
_1926_,41.98
_2413_,41.86
_0162_,41.785
ctrl_unit.PCWrite,41.76
_2266_,41.46
_0927_,41.345
_0753_,41.3
_2020_,41.18
_2010_,41.16
_2036_,41.16
_0006_,41.085
_2090_,40.98
_2138_,40.93
_0230_,40.885
_1012_,40.83
_0852_,40.62
_1749_,40.52
_0261_,40.495
_2576_,40.4
_1403_,40.3
_2390_,40.3
reg_file.memory\[7\]\[11\],40.28
_0528_,40.24
reg_file.memory\[7\]\[21\],40
_1660_,39.94
_1893_,39.74
_1328_,39.72
alu.ALUControl\[1\],39.7
_1019_,39.64
_2503_,39.6
reg_file.memory\[0\]\[28\],39.36
_1795_,39.16
_2178_,39.02
_2226_,38.98
_2108_,38.94
_0166_,38.895
_1272_,38.76
_0980_,38.75
_1137_,38.74
_2214_,38.72
_0682_,38.68
_0486_,38.66
_0776_,38.66
_0394_,38.485
reg_file.memory\[7\]\[18\],38.42
_2204_,38.4
_2238_,38.34
_2614_,38.24
_1783_,38
_0198_,37.985
_0959_,37.92
reg_file.memory\[7\]\[16\],37.88
_1426_,37.82
_1368_,37.8
_0558_,37.76
_0798_,37.6
_2540_,37.6
_0389_,37.405
_2086_,37.4
_1028_,37.38
_1941_,37.22
_1062_,37.1
clknet_leaf_7_clk,36.94
_1773_,36.87
_1259_,36.82
_0577_,36.62
_2128_,36.62
_2574_,36.62
_1415_,36.615
net7,36.56
_0539_,36.1
_2291_,36.1
_0990_,36.04
_0390_,35.805
_1604_,35.66
_1170_,35.64
_2572_,35.58
_2860_,35.26
_1293_,35.2
_1925_,35.14
_2180_,35.02
_1741_,34.96
_1777_,34.94
_1149_,34.9
_1330_,34.9
_0386_,34.825
_2244_,34.8
_2012_,34.64
_2134_,34.51
_0002_,34.465
_2680_,34.34
_1334_,34.32
_0535_,34.22
_2029_,34.2
_1943_,34.12
_0100_,33.945
_2319_,33.94
_1294_,33.88
_0382_,33.745
_0815_,33.6
_0490_,33.565
_0555_,33.5
_2858_,33.5
_1355_,33.4
_0955_,33.28
_2026_,33.24
_1759_,33.16
_2859_,33.08
_1881_,32.88
_1502_,32.76
reg_file.memory\[7\]\[10\],32.68
_1079_,32.65
_2202_,32.63
_0943_,32.5
_2747_,32.36
_1291_,32.24
_0702_,32.22
_1666_,32.22
_1928_,32.2
_1418_,32.04
_0226_,31.9
_1044_,31.86
_0513_,31.78
_1969_,31.62
_0965_,31.58
_1382_,31.58
_2194_,31.54
_1637_,31.52
reg_file.memory\[2\]\[25\],31.5
_1592_,31.43
_1522_,31.24
_2115_,31.12
_0536_,31.08
_1915_,31.02
_1924_,30.94
_1241_,30.88
_1869_,30.7
reg_file.memory\[8\]\[22\],30.64
_1506_,30.62
_1380_,30.46
reg_file.memory\[7\]\[26\],30.44
reg_file.memory\[2\]\[27\],30.14
reg_file.memory\[1\]\[29\],30.12
reg_file.memory\[7\]\[17\],30.12
_2192_,29.98
_0325_,29.945
_1597_,29.9
_2050_,29.86
_2234_,29.86
_2304_,29.77
reg_file.memory\[0\]\[11\],29.74
_0996_,29.7
_0677_,29.54
_1070_,29.405
_0988_,29.4
seven_seg_conv.digit_counter\[2\],29.38
_2158_,29.32
_1232_,29.24
_1128_,29.2
_1393_,29.12
_2093_,29.08
_1004_,28.9
clk_div.counter\[6\],28.84
_0510_,28.8
reg_file.memory\[7\]\[29\],28.78
_0976_,28.76
_2105_,28.72
_0293_,28.675
_0972_,28.66
_1537_,28.66
reg_file.memory\[2\]\[28\],28.65
_2312_,28.64
_0995_,28.62
reg_file.memory\[9\]\[21\],28.56
clk_div.counter\[12\],28.54
_2183_,28.52
_1034_,28.48
net3,28.46
_0395_,28.435
_2299_,28.42
_1970_,28.385
_0971_,28.36
_1525_,28.2
_1467_,28.18
clk_div.counter\[11\],28.18
reg_file.memory\[5\]\[2\],28
_1399_,27.94
_0770_,27.92
reg_file.memory\[7\]\[20\],27.89
_1558_,27.88
net2,27.83
_1610_,27.82
reg_file.memory\[9\]\[20\],27.82
_1927_,27.8
_2407_,27.74
reg_file.memory\[8\]\[24\],27.72
_2847_,27.64
reg_file.memory\[7\]\[13\],27.52
_0561_,27.48
reg_file.memory\[2\]\[30\],27.48
reg_file.memory\[0\]\[17\],27.42
reg_file.memory\[0\]\[5\],27.38
_0511_,27.32
_0860_,27.12
_0877_,27.06
_1145_,27.06
_2211_,27.06
_2116_,27.04
_0588_,27.02
reg_file.memory\[5\]\[10\],27.02
_0851_,26.96
_0876_,26.88
reg_file.memory\[5\]\[11\],26.88
_2316_,26.87
net4,26.78
reg_file.memory\[6\]\[21\],26.76
_2536_,26.74
_1438_,26.72
_1056_,26.68
_2505_,26.68
_1020_,26.66
_1436_,26.64
reg_file.memory\[0\]\[21\],26.64
_0506_,26.56
_1630_,26.44
_0802_,26.42
_1404_,26.42
_1392_,26.36
_2280_,26.34
_1353_,26.3
_1559_,26.28
_1984_,26.22
_2270_,26.22
alu.ZERO,26.18
reg_file.memory\[0\]\[9\],26.16
_1445_,26.14
_1727_,26.1
_1038_,26.01
_1096_,25.96
_1354_,25.96
_2201_,25.96
_1806_,25.92
_2305_,25.9
_0676_,25.7
_1643_,25.66
_1468_,25.575
_0020_,25.515
_1188_,25.46
_0956_,25.44
_1367_,25.39
_0796_,25.38
_0613_,25.36
_0515_,25.34
_0804_,25.32
_1383_,25.32
clk_div.counter\[10\],25.3
reg_file.memory\[0\]\[14\],25.3
_0733_,25.28
_1569_,25.22
_1713_,25.22
_1864_,25.22
_2863_,25.2
reg_file.memory\[5\]\[14\],25.14
_1215_,25.085
_0968_,25.06
_2307_,25.06
_1292_,25.02
_0202_,24.985
reg_file.memory\[7\]\[15\],24.98
_0569_,24.97
_1317_,24.92
_1895_,24.9
reg_file.memory\[0\]\[16\],24.86
_0631_,24.82
_1314_,24.82
reg_file.memory\[10\]\[19\],24.76
_2103_,24.72
_2236_,24.72
_2198_,24.7
clk_div.counter\[7\],24.69
_1265_,24.68
_0701_,24.62
reg_file.memory\[5\]\[29\],24.62
_0584_,24.61
_1240_,24.59
_0862_,24.5
_1577_,24.4
_1799_,24.38
_0974_,24.36
_1832_,24.36
_1153_,24.3
_1692_,24.28
_1803_,24.28
_0534_,24.26
reg_file.memory\[5\]\[21\],24.2
_2171_,24.18
_0673_,24.15
_0228_,24.135
_1053_,24.12
_1484_,24.12
reg_file.memory\[7\]\[22\],24.07
_1155_,24.04
_0541_,24.01
_2224_,24
_1176_,23.96
_1993_,23.94
_0134_,23.905
_1151_,23.9
